|,|__name,|__cost,|__colors__001,|__colors__002,|__colors__003
Average,Average in-state Public College,24920,#98A1BC,#555879,
Average,Average out-of-state Public College,44090,#98A1BC,#555879,
Average,Average Private College - Average,58600,#98A1BC,#555879,
Average,Average Private College - Expensive,70731,#98A1BC,#555879,
Alabama,Alabama A & M University,30036,,,
Alabama,Alabama State University,27266,,,
Alabama,Auburn University,49340,,,
Alabama,Auburn University at Montgomery,27460,,,
Alabama,Birmingham-Southern College,37050,,,
Alabama,Columbia Southern University,5808,,,
Alabama,Faulkner University,31940,,,
Alabama,Fortis Institute-Birmingham,14561,,,
Alabama,Heritage Christian University,19543,,,
Alabama,Herzing University-Birmingham,13420,,,
Alabama,Huntingdon College,39572,,,
Alabama,Huntsville Bible College,4730,,,
Alabama,J F Ingram State Technical College,6084,,,
Alabama,Jacksonville State University,31610,,,
Alabama,Marion Military Institute,20488,,,
Alabama,Miles College,20062,,,
Alabama,Oakwood University,31222,,,
Alabama,Reid State Technical College,10700,,,
Alabama,Remington College-Mobile Campus,20476,,,
Alabama,Samford University,50304,,,
Alabama,Spring Hill College,35482,,,
Alabama,Stillman College,20974,,,
Alabama,Strayer University-Alabama,13920,,,
Alabama,Talladega College,22354,,,
Alabama,The University of Alabama,48040,,,
Alabama,Troy University,27580,,,
Alabama,Tuskegee University,33284,,,
Alabama,United States Sports Academy,18900,,,
Alabama,University of Alabama at Birmingham,35454,,,
Alabama,University of Alabama in Huntsville,35784,,,
Alabama,University of Mobile,36796,,,
Alabama,University of Montevallo,37498,,,
Alabama,University of North Alabama,30090,,,
Alabama,University of South Alabama,27482,,,
Alabama,University of West Alabama,28256,,,
Alaska,Alaska Bible College,17930,,,
Alabama,Alaska Christian College,21164,,,
Alabama,Alaska Pacific University,29692,,,
Alabama,Charter College,18678,,,
Alabama,Ilisagvik College,18260,,,
Alabama,University of Alaska Anchorage,34105,,,
Alabama,University of Alaska Fairbanks,33202,,,
Alabama,University of Alaska Southeast,33916,,,
Arizona,American InterContinental University System,12310,,,
Arizona,Arizona Christian University,48197,,,
Arizona,Arizona College of Nursing-Phoenix,24853,,,
Arizona,Arizona College of Nursing-Tempe,24853,,,
Arizona,Arizona College of Nursing-Tucson,23760,,,
Arizona,Arizona College-Glendale,18835,,,
Arizona,Arizona College-Mesa,18835,,,
Arizona,Arizona State University Campus Immersion,48284,,,
Arizona,Arizona Western College,18357,,,
Arizona,Aspen University,6264,,,
Arizona,Aviation Institute of Maintenance-Phoenix,16657,,,
Arizona,Bryan University,12185,,,
Arizona,Central Arizona College,13286,,,
Arizona,Chamberlain University-Arizona,20462,,,
Arizona,Chandler-Gilbert Community College,19398,,,
Arizona,Cochise County Community College District,15170,,,
Arizona,Coconino Community College,9492,,,
Arizona,DeVry University-Arizona,17488,,,
Arizona,Dine College,6350,,,
Arizona,Eastern Arizona College,16502,,,
Arizona,Embry-Riddle Aeronautical University-Prescott,56306,,,
Arizona,Estrella Mountain Community College,8958,,,
Arizona,GateWay Community College,8958,,,
Arizona,Glendale Community College,8958,,,
Arizona,Grand Canyon University,28612,,,
Arizona,Indian Bible College,13187,,,
Arizona,International Baptist College and Seminary,21300,,,
Arizona,Mesa Community College,8958,,,
Arizona,Mohave Community College,7248,,,
Arizona,National Paralegal College,7995,,,
Arizona,Northern Arizona University,40628,,,
Arizona,Northland Pioneer College,9851,,,
Arizona,Ottawa University-Surprise,50640,,,
Arizona,Paradise Valley Community College,8958,,,
Arizona,Phoenix College,8958,,,
Arizona,Pima Community College,7686,,,
Arizona,Prescott College,43475,,,
Arizona,Rio Salado College,8958,,,
Arizona,Scottsdale Community College,8958,,,
Arizona,Sessions College for Professional Design,12440,,,
Arizona,Sonoran Desert Institute,12280,,,
Arizona,South Mountain Community College,8958,,,
Arizona,Tohono O'Odham Community College,5332,,,
Arizona,University of Advancing Technology,31380,,,
Arizona,University of Arizona,55495,,,
Arizona,University of Phoenix-Arizona,9552,,,
Arizona,Yavapai College,20050,,,
Arkansas,Arkansas Baptist College,17586,,,
Arkansas,Arkansas Northeastern College,4250,,,
Arkansas,Arkansas State University,24926,,,
Arkansas,Arkansas State University Mid-South,4560,,,
Arkansas,Arkansas State University Three Rivers,4168,,,
Arkansas,Arkansas State University-Beebe,11240,,,
Arkansas,Arkansas State University-Mountain Home,4632,,,
Arkansas,Arkansas State University-Newport,12070,,,
Arkansas,Arkansas Tech University,24354,,,
Arkansas,Baptist Health College Little Rock,13593,,,
Arkansas,Black River Technical College,7242,,,
Arkansas,Central Baptist College,28180,,,
Arkansas,Champion Christian College,18270,,,
Arkansas,Cossatot Community College of the University of Arkansas,4746,,,
Arkansas,Crowley's Ridge College,24340,,,
Arkansas,East Arkansas Community College,4980,,,
Arkansas,Ecclesia College,22850,,,
Arkansas,Harding University,34828,,,
Arkansas,Henderson State University,20562,,,
Arkansas,Hendrix College,50950,,,
Arkansas,John Brown University,41090,,,
Arkansas,Lyon College,41750,,,
Arkansas,National Park College,14005,,,
Arkansas,North Arkansas College,12366,,,
Arkansas,NorthWest Arkansas Community College,5022,,,
Arkansas,Northwest Technical Institute,5184,,,
Arkansas,Ouachita Baptist University,41720,,,
Arkansas,Ozarka College,12520,,,
Arkansas,Philander Smith University,23014,,,
Arkansas,Phillips Community College of the University of Arkansas,5270,,,
Arkansas,Shorter College,15990,,,
Arkansas,South Arkansas College,5364,,,
Arkansas,Southeast Arkansas College,18950,,,
Arkansas,Southern Arkansas University Main Campus,23001,,,
Arkansas,Southern Arkansas University Tech,10933,,,
Arkansas,University of Arkansas,42062,,,
Arkansas,University of Arkansas at Little Rock,28562,,,
Arkansas,University of Arkansas at Monticello,22538,,,
Arkansas,University of Arkansas at Pine Bluff,26151,,,
Arkansas,University of Arkansas Community College Rich Mountain,13334,,,
Arkansas,University of Arkansas Community College-Batesville,4542,,,
Arkansas,University of Arkansas Community College-Morrilton,4176,,,
Arkansas,University of Arkansas Grantham,8280,,,
Arkansas,University of Arkansas Hope-Texarkana,4960,,,
Arkansas,University of Arkansas-Fort Smith,23569,,,
Arkansas,University of Arkansas-Pulaski Technical College,7248,,,
Arkansas,University of Central Arkansas,25920,,,
Arkansas,University of the Ozarks,35440,,,
Arkansas,Williams Baptist University,29310,,,
California,Abraham Lincoln University,10440,,,
California,Academy of Art University,51770,,,
California,Agape College of Business and Science,8132,,,
California,Allan Hancock College,9436,,,
California,Alliant International University-San Diego,13918,,,
California,America Evangelical University,6200,,,
California,American Academy of Dramatic Arts-Los Angeles,54170,,,
California,American River College,12808,,,
California,American University of Health Sciences,24575,,,
California,Antelope Valley Community College District,8228,,,
California,Arizona College of Nursing-Ontario,30133,,,
California,Art Center College of Design,51640,,,
California,Ashford University,13160,,,
